TAG_ID	VALUE	UTC_TIMESTAMP	IST_TIMESTAMP
699426acbfb07d6db09a0531	1.274999976158142	2026-08-24T05:55:08.032Z	2026-08-24T11:25:08.032+05:30
699426acbfb07d6db09a0531	1.2699999809265137	2026-08-24T06:00:01.913Z	2026-08-24T11:30:01.913+05:30
699426acbfb07d6db09a0531	1.2649999856948853	2026-08-24T06:10:09.008Z	2026-08-24T11:40:09.008+05:30
699426acbfb07d6db09a0531	1.2649999856948853	2026-08-24T06:20:06.925Z	2026-08-24T11:50:06.925+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T06:30:04.630Z	2026-08-24T12:00:04.630+05:30
699426acbfb07d6db09a0531	1.2699999809265137	2026-08-24T06:40:02.004Z	2026-08-24T12:10:02.004+05:30
699426acbfb07d6db09a0531	1.2699999809265137	2026-08-24T06:50:00.064Z	2026-08-24T12:20:00.064+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T07:00:08.118Z	2026-08-24T12:30:08.118+05:30
699426acbfb07d6db09a0531	1.2649999856948853	2026-08-24T07:10:06.305Z	2026-08-24T12:40:06.305+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T07:20:04.327Z	2026-08-24T12:50:04.327+05:30
699426acbfb07d6db09a0531	1.2649999856948853	2026-08-24T07:30:02.078Z	2026-08-24T13:00:02.078+05:30
699426acbfb07d6db09a0531	1.2549999952316284	2026-08-24T07:40:09.593Z	2026-08-24T13:10:09.593+05:30
699426acbfb07d6db09a0531	1.274999976158142	2026-08-24T07:50:07.544Z	2026-08-24T13:20:07.544+05:30
699426acbfb07d6db09a0531	1.2549999952316284	2026-08-24T08:00:05.507Z	2026-08-24T13:30:05.507+05:30
699426acbfb07d6db09a0531	1.2649999856948853	2026-08-24T08:10:03.107Z	2026-08-24T13:40:03.107+05:30
699426acbfb07d6db09a0531	1.2649999856948853	2026-08-24T08:20:00.657Z	2026-08-24T13:50:00.657+05:30
699426acbfb07d6db09a0531	1.2699999809265137	2026-08-24T08:30:08.104Z	2026-08-24T14:00:08.104+05:30
699426acbfb07d6db09a0531	1.2649999856948853	2026-08-24T08:40:05.959Z	2026-08-24T14:10:05.959+05:30
699426acbfb07d6db09a0531	1.2649999856948853	2026-08-24T08:50:04.062Z	2026-08-24T14:20:04.062+05:30
699426acbfb07d6db09a0531	1.2699999809265137	2026-08-24T09:00:02.327Z	2026-08-24T14:30:02.327+05:30
699426acbfb07d6db09a0531	1.2699999809265137	2026-08-24T09:10:00.720Z	2026-08-24T14:40:00.720+05:30
699426acbfb07d6db09a0531	1.2699999809265137	2026-08-24T09:20:08.534Z	2026-08-24T14:50:08.534+05:30
699426acbfb07d6db09a0531	1.2649999856948853	2026-08-24T09:30:07.091Z	2026-08-24T15:00:07.091+05:30
699426acbfb07d6db09a0531	1.2649999856948853	2026-08-24T09:40:05.492Z	2026-08-24T15:10:05.492+05:30
699426acbfb07d6db09a0531	1.2649999856948853	2026-08-24T09:50:03.579Z	2026-08-24T15:20:03.579+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T10:00:02.070Z	2026-08-24T15:30:02.070+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T10:10:00.770Z	2026-08-24T15:40:00.770+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T10:20:09.050Z	2026-08-24T15:50:09.050+05:30
699426acbfb07d6db09a0531	1.2649999856948853	2026-08-24T10:30:07.493Z	2026-08-24T16:00:07.493+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T10:40:05.904Z	2026-08-24T16:10:05.904+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T10:50:04.059Z	2026-08-24T16:20:04.059+05:30
699426acbfb07d6db09a0531	1.2549999952316284	2026-08-24T11:00:02.469Z	2026-08-24T16:30:02.469+05:30
699426acbfb07d6db09a0531	1.25	2026-08-24T11:10:00.305Z	2026-08-24T16:40:00.305+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T11:20:03.724Z	2026-08-24T16:50:03.724+05:30
699426acbfb07d6db09a0531	1.25	2026-08-24T11:30:10.023Z	2026-08-24T17:00:10.023+05:30
699426acbfb07d6db09a0531	1.25	2026-08-24T11:40:05.347Z	2026-08-24T17:10:05.347+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T11:50:08.629Z	2026-08-24T17:20:08.629+05:30
699426acbfb07d6db09a0531	1.2549999952316284	2026-08-24T12:00:01.691Z	2026-08-24T17:30:01.691+05:30
699426acbfb07d6db09a0531	1.25	2026-08-24T12:10:05.921Z	2026-08-24T17:40:05.921+05:30
699426acbfb07d6db09a0531	1.2549999952316284	2026-08-24T12:20:10.712Z	2026-08-24T17:50:10.712+05:30
699426acbfb07d6db09a0531	1.2549999952316284	2026-08-24T12:30:04.144Z	2026-08-24T18:00:04.144+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T12:40:08.055Z	2026-08-24T18:10:08.055+05:30
699426acbfb07d6db09a0531	1.2549999952316284	2026-08-24T12:50:02.126Z	2026-08-24T18:20:02.126+05:30
699426acbfb07d6db09a0531	1.2549999952316284	2026-08-24T13:00:07.600Z	2026-08-24T18:30:07.600+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T13:10:02.386Z	2026-08-24T18:40:02.386+05:30
699426acbfb07d6db09a0531	1.2599999904632568	2026-08-24T13:20:08.703Z	2026-08-24T18:50:08.703+05:30
699426acbfb07d6db09a0531	1.25	2026-08-24T13:30:04.170Z	2026-08-24T19:00:04.170+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T13:40:08.009Z	2026-08-24T19:10:08.009+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T13:50:01.786Z	2026-08-24T19:20:01.786+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T14:00:07.031Z	2026-08-24T19:30:07.031+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T14:10:01.725Z	2026-08-24T19:40:01.725+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T14:20:07.462Z	2026-08-24T19:50:07.462+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T14:30:02.129Z	2026-08-24T20:00:02.129+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T14:40:06.116Z	2026-08-24T20:10:06.116+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T14:50:00.125Z	2026-08-24T20:20:00.125+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T15:00:05.514Z	2026-08-24T20:30:05.514+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T15:10:00.171Z	2026-08-24T20:40:00.171+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T15:20:05.899Z	2026-08-24T20:50:05.899+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T15:30:00.812Z	2026-08-24T21:00:00.812+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T15:40:05.039Z	2026-08-24T21:10:05.039+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T15:50:10.091Z	2026-08-24T21:20:10.091+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T16:00:04.553Z	2026-08-24T21:30:04.553+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T16:10:09.869Z	2026-08-24T21:40:09.869+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T16:20:04.858Z	2026-08-24T21:50:04.858+05:30
699426acbfb07d6db09a0531	0.5	2026-08-24T16:30:10.764Z	2026-08-24T22:00:10.764+05:30
